               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/fruit_mAP,    metrics/bomb_mAP,metrics/fruit_mAP_50, metrics/bomb_mAP_50
                   0,             0.12288,            0.032195,            0.031049,          0.00090956,               0.175,          0.00063198,          0.00018694,             0.11917,            0.028481,            0.032538,              0.0955,              0.0005,              0.0005,          0.00037388,                   0,            0.001264,                   0
                   1,             0.10342,            0.036051,            0.029353,           0.0017249,             0.34375,           0.0012518,          0.00038248,            0.090706,            0.030144,             0.02691,            0.090078,           0.0010782,           0.0010782,          0.00063751,          0.00012746,           0.0019381,          0.00056561
                   2,            0.086597,            0.034449,            0.025798,           0.0042432,             0.84375,            0.020184,           0.0055678,            0.072879,            0.031071,            0.025684,            0.084633,           0.0016327,           0.0016327,            0.010346,          0.00078937,            0.037424,           0.0029444
                   3,            0.080023,            0.038978,             0.02289,            0.067455,                0.45,             0.13827,            0.039411,            0.067751,            0.028103,            0.026178,            0.079163,           0.0021634,           0.0021634,            0.073613,           0.0052097,             0.26081,            0.015727
                   4,            0.072158,            0.036223,            0.021438,            0.053872,                 0.3,             0.06184,            0.021082,            0.069873,            0.023979,            0.027661,             0.07367,           0.0026703,           0.0026703,            0.035885,           0.0062796,             0.10069,            0.022992
                   5,            0.065389,            0.034659,            0.019057,             0.60706,               0.175,             0.25125,             0.11202,            0.065509,            0.022875,            0.028082,            0.068154,           0.0031535,           0.0031535,             0.20364,            0.020405,             0.44156,            0.060945
                   6,            0.064507,            0.031135,            0.018667,             0.91487,             0.36585,             0.49374,             0.21865,            0.053452,            0.022163,            0.028748,            0.062613,           0.0036129,           0.0036129,             0.35982,            0.077475,              0.8279,             0.15959
                   7,            0.062256,            0.028611,            0.020295,             0.82343,                0.45,             0.48004,             0.26713,            0.066622,            0.017448,            0.027185,            0.057049,           0.0040486,           0.0040486,             0.46561,             0.06866,             0.78559,             0.17449
                   8,            0.060548,            0.024988,            0.019366,             0.78714,                 0.4,              0.4434,             0.14581,            0.065148,            0.017996,            0.025385,             0.05146,           0.0044605,           0.0044605,             0.23909,            0.052519,              0.6952,              0.1916
                   9,            0.064261,            0.025089,            0.018932,             0.70215,             0.30557,             0.30962,             0.13758,             0.07366,            0.017239,            0.024701,            0.045849,           0.0048486,           0.0048486,             0.22945,            0.045717,             0.48569,             0.13354
                  10,              0.0647,            0.025074,            0.018179,             0.66109,                0.35,             0.22565,            0.079617,             0.06751,            0.018679,            0.023395,            0.040213,            0.005213,            0.005213,             0.14026,            0.018972,               0.394,            0.057306
                  11,            0.062908,            0.024643,            0.016947,             0.91507,                0.35,             0.47257,             0.19747,            0.064752,            0.017515,            0.019504,            0.034554,           0.0055536,           0.0055536,              0.3568,            0.038143,             0.86518,            0.079957
                  12,            0.058344,            0.022274,            0.014479,             0.89513,               0.325,             0.44788,             0.16766,            0.065875,            0.017136,            0.017535,             0.02887,           0.0058705,           0.0058705,             0.28818,            0.047144,             0.81216,            0.083607
                  13,            0.063982,            0.022081,            0.013351,             0.72029,               0.325,             0.29149,             0.11673,            0.071948,            0.014606,             0.01593,            0.023164,           0.0061636,           0.0061636,             0.21071,            0.022763,             0.51112,            0.071864
                  14,            0.066236,            0.021508,            0.013202,              0.7754,                 0.3,             0.39203,            0.098089,            0.054789,            0.016502,            0.015219,            0.017433,           0.0064329,           0.0064329,             0.15484,            0.041334,              0.6762,             0.10787
                  15,             0.06419,            0.020513,            0.012585,             0.90939,                0.35,             0.76088,             0.36161,            0.052649,             0.01569,            0.013281,            0.011678,           0.0066785,           0.0066785,             0.45119,             0.27203,             0.83437,             0.68739
                  16,            0.059545,            0.023183,            0.011731,             0.85505,             0.36769,             0.74096,             0.34936,            0.058903,             0.01408,            0.012607,            0.006832,            0.006832,            0.006832,             0.31662,             0.38211,             0.80639,             0.67554
                  17,            0.059054,            0.020712,            0.010661,             0.47268,              0.8125,             0.83217,             0.29028,            0.058932,            0.013397,            0.010561,            0.006832,            0.006832,            0.006832,             0.24485,             0.33571,              0.7822,             0.88215
                  18,            0.058016,             0.01902,            0.010032,             0.46482,             0.90625,             0.70137,               0.317,            0.050668,             0.01367,           0.0096191,            0.006634,            0.006634,            0.006634,             0.20096,             0.43304,             0.53742,             0.86532
                  19,            0.052187,            0.020184,            0.009951,             0.51037,              0.9375,             0.83491,             0.35579,            0.051411,             0.01355,           0.0085365,            0.006436,            0.006436,            0.006436,             0.37049,             0.34109,             0.74888,             0.92093
                  20,            0.054682,            0.019485,           0.0080376,             0.55551,             0.80649,              0.8328,             0.30246,            0.053919,            0.012775,             0.00812,            0.006238,            0.006238,            0.006238,             0.22288,             0.38204,             0.75422,             0.91138
                  21,            0.051905,            0.017689,           0.0080962,             0.65945,             0.90625,              0.8286,             0.35568,            0.048267,            0.012501,           0.0069263,             0.00604,             0.00604,             0.00604,             0.30902,             0.40234,             0.70524,             0.95197
                  22,            0.051486,            0.019584,           0.0075071,             0.61397,             0.96875,             0.82741,             0.45516,            0.047336,            0.011955,           0.0064213,            0.005842,            0.005842,            0.005842,             0.35888,             0.55144,             0.71833,             0.93649
                  23,            0.046465,            0.017908,           0.0062915,             0.69085,             0.85108,             0.89017,             0.44447,            0.044494,            0.011736,           0.0057301,            0.005644,            0.005644,            0.005644,             0.50152,             0.38742,             0.86741,             0.91292
                  24,            0.047619,            0.015782,           0.0061073,              0.7655,              0.9375,             0.88304,             0.31683,            0.046195,            0.011494,           0.0052887,            0.005446,            0.005446,            0.005446,               0.277,             0.35667,             0.84775,             0.91833
                  25,            0.041959,            0.016683,           0.0056895,             0.76172,             0.94375,             0.93237,             0.55329,            0.039105,            0.011084,           0.0046497,            0.005248,            0.005248,            0.005248,             0.47488,              0.6317,             0.89419,             0.97056
                  26,            0.043257,            0.015524,           0.0058727,             0.69039,             0.88311,              0.8804,             0.37072,            0.041853,            0.010958,           0.0044666,             0.00505,             0.00505,             0.00505,             0.41997,             0.32146,             0.89796,             0.86285
                  27,            0.041192,            0.016097,           0.0051611,             0.79843,             0.89375,             0.89724,             0.41434,             0.04261,            0.010019,           0.0039467,            0.004852,            0.004852,            0.004852,             0.50149,             0.32718,             0.88798,              0.9065
                  28,             0.04096,            0.015112,           0.0048156,             0.82432,             0.89375,             0.91713,             0.47009,            0.038261,           0.0098963,           0.0036928,            0.004654,            0.004654,            0.004654,             0.46424,             0.47594,             0.87102,             0.96324
                  29,            0.042582,            0.014607,           0.0049344,             0.90115,             0.89375,             0.95409,             0.55888,            0.035715,           0.0094223,           0.0032566,            0.004456,            0.004456,            0.004456,              0.6403,             0.47745,             0.91671,             0.99147
                  30,            0.039289,            0.014528,           0.0043178,             0.86964,              0.9834,             0.96642,             0.53723,            0.038743,            0.009223,           0.0030481,            0.004258,            0.004258,            0.004258,             0.54105,             0.53341,             0.93783,               0.995
                  31,            0.037391,            0.013472,           0.0035315,             0.98836,             0.89923,              0.9842,             0.51367,            0.035859,           0.0090494,           0.0028196,             0.00406,             0.00406,             0.00406,             0.50629,             0.52106,               0.995,              0.9734
                  32,            0.034938,            0.012253,           0.0031746,             0.89494,              0.8863,             0.95699,             0.61133,            0.037626,           0.0087738,            0.002718,            0.003862,            0.003862,            0.003862,             0.58197,             0.64068,             0.91898,               0.995
                  33,            0.034736,             0.01223,           0.0035143,              0.9542,             0.99203,             0.98519,             0.64463,            0.032434,            0.008482,            0.002549,            0.003664,            0.003664,            0.003664,             0.63836,             0.65091,             0.97538,               0.995
                  34,            0.033486,            0.012839,           0.0032328,             0.83009,                   1,             0.94058,             0.45839,            0.030569,           0.0086975,           0.0024902,            0.003466,            0.003466,            0.003466,             0.53611,             0.38068,             0.88617,               0.995
                  35,             0.03408,            0.011086,           0.0030897,              0.9682,                   1,             0.99381,             0.64812,            0.031161,           0.0084753,           0.0023748,            0.003268,            0.003268,            0.003268,             0.66338,             0.63286,             0.99262,               0.995
                  36,            0.031037,             0.01206,           0.0026605,             0.99744,              0.9985,               0.995,             0.66085,            0.032731,           0.0084362,           0.0022882,             0.00307,             0.00307,             0.00307,             0.68738,             0.63433,               0.995,               0.995
                  37,            0.031039,            0.013649,           0.0029604,             0.99993,             0.99898,               0.995,             0.55994,            0.035331,           0.0085697,           0.0021454,            0.002872,            0.002872,            0.002872,             0.62069,             0.49919,               0.995,               0.995
                  38,            0.032399,            0.013091,           0.0029666,             0.99909,             0.99879,               0.995,             0.70889,            0.027696,           0.0081491,            0.002107,            0.002674,            0.002674,            0.002674,             0.73911,             0.67867,               0.995,               0.995
                  39,            0.030282,            0.012716,           0.0030682,             0.99669,                   1,               0.995,             0.66206,            0.028472,           0.0080624,           0.0020533,            0.002476,            0.002476,            0.002476,             0.73025,             0.59388,               0.995,               0.995
                  40,            0.029185,            0.013004,           0.0027589,             0.99689,                   1,               0.995,             0.67681,            0.027052,           0.0079346,           0.0020435,            0.002278,            0.002278,            0.002278,             0.75169,             0.60192,               0.995,               0.995
                  41,            0.028425,            0.012311,           0.0029022,             0.99572,                   1,               0.995,             0.69511,            0.026261,           0.0077534,           0.0020201,             0.00208,             0.00208,             0.00208,              0.7514,             0.63881,               0.995,               0.995
                  42,            0.026657,            0.011783,           0.0026072,             0.99195,             0.99937,               0.995,             0.67808,            0.026001,           0.0077791,           0.0020351,            0.001882,            0.001882,            0.001882,             0.67722,             0.67893,               0.995,               0.995
                  43,            0.025448,            0.012339,           0.0024299,             0.99283,                   1,               0.995,             0.68072,            0.027787,           0.0078344,           0.0020374,            0.001684,            0.001684,            0.001684,             0.72584,             0.63561,               0.995,               0.995
                  44,            0.026933,            0.012205,           0.0025455,             0.99445,                   1,               0.995,             0.71993,            0.023875,           0.0075407,           0.0020405,            0.001486,            0.001486,            0.001486,             0.76937,             0.67049,               0.995,               0.995
                  45,             0.02333,            0.012247,           0.0024088,             0.99504,                   1,               0.995,             0.71045,            0.025332,           0.0076342,           0.0019957,            0.001288,            0.001288,            0.001288,             0.71075,             0.71015,               0.995,               0.995
                  46,            0.023987,           0.0094584,            0.001946,             0.99503,                   1,               0.995,             0.73192,            0.024489,           0.0075598,             0.00196,             0.00109,             0.00109,             0.00109,              0.7633,             0.70053,               0.995,               0.995
                  47,            0.023448,            0.011371,            0.002136,             0.99558,                   1,               0.995,             0.72779,            0.023739,           0.0074806,           0.0018858,            0.000892,            0.000892,            0.000892,             0.76285,             0.69272,               0.995,               0.995
                  48,            0.022958,           0.0099667,           0.0023761,             0.99526,                   1,               0.995,              0.7268,            0.023091,           0.0074339,           0.0018728,            0.000694,            0.000694,            0.000694,              0.7753,              0.6783,               0.995,               0.995
                  49,            0.022957,             0.01144,            0.002019,             0.99535,                   1,               0.995,             0.73219,            0.023237,           0.0074139,           0.0018541,            0.000496,            0.000496,            0.000496,             0.76768,              0.6967,               0.995,               0.995
